"('TimeGMT', <class 'str'>, None, 30, 30, 3, True)","('date', <class 'datetime.date'>, None, 10, 10, 0, True)","('SourceSystemId', <class 'int'>, None, 19, 19, 0, True)","('DbAddr', <class 'int'>, None, 19, 19, 0, True)","('DbName', <class 'str'>, None, 80, 80, 0, True)","('EValue', <class 'float'>, None, 53, 53, 0, True)","('Year', <class 'str'>, None, 1024, 1024, 0, True)","('Month', <class 'str'>, None, 1024, 1024, 0, True)","('Day', <class 'str'>, None, 1024, 1024, 0, True)"
2024-01-01 07:53:00+00:00,2024-01-01,2,7456,Default Name,9.510995864868164,2024,1,1
2024-01-01 23:10:00+00:00,2024-01-01,2,7456,Default Name,9.581525802612305,2024,1,1
2024-01-01 14:43:00+00:00,2024-01-01,2,7456,Default Name,9.410627365112305,2024,1,1
2024-01-01 04:05:00+00:00,2024-01-01,2,7456,Default Name,9.609556198120117,2024,1,1
2024-01-01 16:59:00+00:00,2024-01-01,2,7456,Default Name,9.265047073364258,2024,1,1
2024-01-01 14:02:00+00:00,2024-01-01,2,7456,Default Name,9.769603729248047,2024,1,1
2024-01-01 10:40:00+00:00,2024-01-01,2,7456,Default Name,9.94140625,2024,1,1
2024-01-01 02:14:00+00:00,2024-01-01,2,7456,Default Name,9.985713005065918,2024,1,1
2024-01-01 04:07:00+00:00,2024-01-01,2,7456,Default Name,9.639395713806152,2024,1,1
2024-01-01 07:26:00+00:00,2024-01-01,2,7456,Default Name,9.957682609558105,2024,1,1
2024-01-01 23:26:00+00:00,2024-01-01,2,7456,Default Name,9.4920072555542,2024,1,1
2024-01-01 02:37:00+00:00,2024-01-01,2,7456,Default Name,9.677372932434082,2024,1,1
2024-01-01 11:03:00+00:00,2024-01-01,2,7456,Default Name,9.907950401306152,2024,1,1
2024-01-01 11:59:00+00:00,2024-01-01,2,7456,Default Name,9.423285484313965,2024,1,1
2024-01-01 11:26:00+00:00,2024-01-01,2,7456,Default Name,9.814814567565918,2024,1,1
2024-01-01 16:19:00+00:00,2024-01-01,2,7456,Default Name,9.36903190612793,2024,1,1
2024-01-01 04:45:00+00:00,2024-01-01,2,7456,Default Name,10.072518348693848,2024,1,1
2024-01-01 01:14:00+00:00,2024-01-01,2,7456,Default Name,10.075231552124023,2024,1,1
2024-01-01 12:22:00+00:00,2024-01-01,2,7456,Default Name,9.916088104248047,2024,1,1
2024-01-01 02:50:00+00:00,2024-01-01,2,7456,Default Name,10.049009323120117,2024,1,1
2024-01-01 03:35:00+00:00,2024-01-01,2,7456,Default Name,9.5408353805542,2024,1,1
2024-01-01 21:25:00+00:00,2024-01-01,2,7456,Default Name,9.242441177368164,2024,1,1
2024-01-01 23:32:00+00:00,2024-01-01,2,7456,Default Name,9.4287109375,2024,1,1
2024-01-01 01:02:00+00:00,2024-01-01,2,7456,Default Name,10.059860229492188,2024,1,1
2024-01-01 14:15:00+00:00,2024-01-01,2,7456,Default Name,9.893482208251953,2024,1,1
2024-01-01 19:32:00+00:00,2024-01-01,2,7456,Default Name,9.500144958496094,2024,1,1
2024-01-01 01:18:00+00:00,2024-01-01,2,7456,Default Name,9.668330192565918,2024,1,1
2024-01-01 07:00:00+00:00,2024-01-01,2,7456,Default Name,9.619502067565918,2024,1,1
2024-01-01 10:16:00+00:00,2024-01-01,2,7456,Default Name,9.946831703186035,2024,1,1
2024-01-01 16:46:00+00:00,2024-01-01,2,7456,Default Name,9.779550552368164,2024,1,1
2024-01-01 22:14:00+00:00,2024-01-01,2,7456,Default Name,9.429615020751953,2024,1,1
2024-01-01 20:11:00+00:00,2024-01-01,2,7456,Default Name,9.142072677612305,2024,1,1
2024-01-01 14:37:00+00:00,2024-01-01,2,7456,Default Name,9.441370010375977,2024,1,1
2024-01-01 15:44:00+00:00,2024-01-01,2,7456,Default Name,9.74338150024414,2024,1,1
2024-01-01 13:37:00+00:00,2024-01-01,2,7456,Default Name,9.440465927124023,2024,1,1
2024-01-01 13:34:00+00:00,2024-01-01,2,7456,Default Name,9.900716781616211,2024,1,1
2024-01-01 15:53:00+00:00,2024-01-01,2,7456,Default Name,9.314779281616211,2024,1,1
2024-01-01 06:44:00+00:00,2024-01-01,2,7456,Default Name,9.945022583007812,2024,1,1
2024-01-01 00:38:00+00:00,2024-01-01,2,7456,Default Name,9.98752212524414,2024,1,1
2024-01-01 17:27:00+00:00,2024-01-01,2,7456,Default Name,9.822952270507812,2024,1,1
2024-01-01 10:33:00+00:00,2024-01-01,2,7456,Default Name,9.981192588806152,2024,1,1
2024-01-01 02:17:00+00:00,2024-01-01,2,7456,Default Name,9.595993041992188,2024,1,1
2024-01-01 12:57:00+00:00,2024-01-01,2,7456,Default Name,9.887152671813965,2024,1,1
2024-01-01 15:26:00+00:00,2024-01-01,2,7456,Default Name,9.71896743774414,2024,1,1
2024-01-01 23:59:00+00:00,2024-01-01,2,7456,Default Name,9.058883666992188,2024,1,1
2024-01-01 17:25:00+00:00,2024-01-01,2,7456,Default Name,9.403392791748047,2024,1,1
2024-01-01 13:19:00+00:00,2024-01-01,2,7456,Default Name,9.458550453186035,2024,1,1
2024-01-01 17:30:00+00:00,2024-01-01,2,7456,Default Name,9.378978729248047,2024,1,1
2024-01-01 13:43:00+00:00,2024-01-01,2,7456,Default Name,9.507378578186035,2024,1,1
2024-01-01 00:26:00+00:00,2024-01-01,2,7456,Default Name,10.046296119689941,2024,1,1
2024-01-01 19:18:00+00:00,2024-01-01,2,7456,Default Name,9.267759323120117,2024,1,1
2024-01-01 09:08:00+00:00,2024-01-01,2,7456,Default Name,9.890769958496094,2024,1,1
2024-01-01 09:09:00+00:00,2024-01-01,2,7456,Default Name,10.012840270996094,2024,1,1
2024-01-01 23:12:00+00:00,2024-01-01,2,7456,Default Name,9.18728256225586,2024,1,1
2024-01-01 07:07:00+00:00,2024-01-01,2,7456,Default Name,9.627639770507812,2024,1,1
