Threshold,Number of Days
10 mm,257
12 mm,188
14 mm,153
16 mm,116
18 mm,82
20 mm,65
22 mm,50
24 mm,38
26 mm,29
28 mm,19
30 mm,14
32 mm,11
34 mm,8
36 mm,8
38 mm,6
40 mm,4
Month,Year,Monthly Depth (mm)
4,1998,88.9
5,1998,62.3
6,1998,80.9
7,1998,50.6
8,1998,22.3
9,1998,93.4
10,1998,153
11,1998,55.7
12,1998,97.5
1,1999,133.2
2,1999,36.6
3,1999,27.3
4,1999,70.2
5,1999,12.4
6,1999,55.9
7,1999,7.4
8,1999,75.4
9,1999,137.6
10,1999,68.1
11,1999,54.5
12,1999,176.4
1,2000,38.4
2,2000,73
3,2000,28.3
4,2000,129.9
5,2000,77.5
6,2000,24.2
7,2000,39.6
8,2000,34.8
9,2000,107.5
10,2000,163.8
11,2000,190.7
12,2000,174.7
1,2001,121.3
2,2001,82.9
3,2001,138.4
4,2001,73.9
5,2001,17.3
6,2001,27.6
7,2001,54.7
8,2001,36.2
9,2001,43.5
10,2001,135.8
11,2001,40.6
12,2001,30.6
1,2002,80.7
2,2002,129.5
3,2002,50.1
4,2002,41.1
5,2002,94.8
6,2002,41.5
7,2002,79.1
8,2002,58.6
9,2002,54.8
10,2002,95.8
11,2002,243.9
12,2002,147
1,2003,79.9
2,2003,44.9
3,2003,28.8
4,2003,43.5
5,2003,48.4
6,2003,49.1
7,2003,65
8,2003,25.2
9,2003,8
10,2003,97.7
11,2003,200
12,2003,122.1
1,2004,113.9
2,2004,34.2
3,2004,50.5
4,2004,78.8
5,2004,52.2
6,2004,23.8
7,2004,63.7
8,2004,73.9
9,2004,48.9
10,2004,165.6
11,2004,30.2
12,2004,75.1
1,2005,64.7
2,2005,14.7
3,2005,54.4
4,2005,63.4
5,2005,31.4
6,2005,71.8
7,2005,58.5
8,2005,53.1
9,2005,32.9
10,2005,149.4
11,2005,85.1
12,2005,66.4
1,2006,21.6
2,2006,59.7
3,2006,68.3
4,2006,26.4
5,2006,93.9
6,2006,13
7,2006,38.3
8,2006,27
9,2006,45.4
10,2006,120.3
11,2006,126.2
12,2006,122.5
1,2007,84.7
2,2007,118.6
3,2007,63.1
4,2007,5.8
5,2007,107.4
6,2007,108.6
7,2007,104.7
8,2007,48.9
9,2007,26.3
10,2007,25.4
11,2007,112.6
12,2007,70.5
1,2008,102
2,2008,31.4
3,2008,77.6
4,2008,55.7
5,2008,76.2
6,2008,38.2
7,2008,73.2
8,2008,71.1
9,2008,98.1
10,2008,73.8
11,2008,89.4
12,2008,38.6
1,2009,99.1
2,2009,93
3,2009,47.9
4,2009,43.7
5,2009,27.1
6,2009,73.9
7,2009,70.3
8,2009,22.4
9,2009,37.8
10,2009,72.6
11,2009,177.7
12,2009,143.7
1,2010,65.1
2,2010,76.4
3,2010,73.2
4,2010,38
5,2010,13.1
6,2010,28.4
7,2010,22.1
8,2010,88.7
9,2010,45.6
10,2010,70.7
11,2010,101.7
12,2010,62.1
1,2011,97.3
2,2011,73.8
3,2011,20
4,2011,8.8
5,2011,21.3
6,2011,77.1
7,2011,39.4
8,2011,119.2
9,2011,54.2
10,2011,47.2
11,2011,39.7
12,2011,101.8
1,2012,46.2
2,2012,23.3
3,2012,25.9
4,2012,144.8
5,2012,35.4
6,2012,152.2
7,2012,111.8
8,2012,65.5
9,2012,93
10,2012,145.2
11,2012,139.8
12,2012,151.8
1,2013,135.3
