M:\Dors\015 Christchurch\StormPac\Outputs\Christchurch.csv
SRG Generated Data, Duration 10 years

StartTime,EndTime,Depth (mm),MeanIntensity (mm/hr),MaxIntensity (mm/hr),Duration (hours),UCWI (mm),API30 (mm), AntecDryPeriod (hours)
16/05/2101 08:00:00,16/05/2101 21:00:00,1.3,0.1,0.8,14,103,0.1,140
19/05/2101 04:00:00,01/06/2101 16:00:00,61.2,0.2,7,325,100,0,54
07/06/2101 14:00:00,08/06/2101 22:00:00,7.6,0.2,1.2,33,105,0.2,141
27/06/2101 20:00:00,28/06/2101 06:00:00,2.6,0.2,1.2,11,65,0,453
04/07/2101 09:00:00,06/07/2101 21:00:00,8.8,0.1,1.2,61,50,0,146
21/07/2101 19:00:00,21/07/2101 19:00:00,0.1,0.1,0.1,1,50,0,357
23/07/2101 08:00:00,24/07/2101 11:00:00,19.6,0.7,8.3,28,50,0,36
30/07/2101 22:00:00,01/08/2101 19:00:00,9.8,0.2,2.6,46,50,0.2,154
04/08/2101 08:00:00,04/08/2101 14:00:00,0.8,0.1,0.6,7,50,0.4,60
12/08/2101 02:00:00,13/08/2101 12:00:00,7.9,0.2,2.3,35,50,0,179
23/08/2101 17:00:00,23/08/2101 22:00:00,3.3,0.5,2.6,6,50,0,244
25/08/2101 11:00:00,25/08/2101 13:00:00,2,0.7,1.4,3,50,0.1,36
27/08/2101 15:00:00,29/08/2101 20:00:00,8.2,0.2,2.3,54,50,0,49
01/09/2101 07:00:00,01/09/2101 07:00:00,0.1,0.1,0.1,1,50,0.4,58
07/09/2101 01:00:00,08/09/2101 02:00:00,46.8,1.8,15.4,26,74,0,137
20/09/2101 10:00:00,20/09/2101 18:00:00,3.4,0.4,3.3,9,50,0,295
23/09/2101 05:00:00,24/09/2101 09:00:00,10.4,0.4,2.1,29,50,0.1,58
27/09/2101 21:00:00,28/09/2101 03:00:00,4.4,0.6,1.2,7,50,0.5,83
05/10/2101 22:00:00,12/10/2101 11:00:00,24.7,0.2,3.2,158,50,0,186
14/10/2101 16:00:00,14/10/2101 16:00:00,0.6,0.6,0.6,1,51,0.3,52
18/10/2101 13:00:00,22/10/2101 16:00:00,26.8,0.3,8.8,100,50,0,92
25/10/2101 07:00:00,26/10/2101 19:00:00,12.9,0.3,1.9,37,81,1.3,62
04/11/2101 19:00:00,09/11/2101,31.8,0.3,3.6,102,74,0,215
10/11/2101 23:00:00,12/11/2101 13:00:00,4.2,0.1,1.2,39,105,1.1,46
14/11/2101 02:00:00,20/11/2101 20:00:00,46.2,0.3,6.5,163,108,0.6,36
27/11/2101 02:00:00,03/12/2101 03:00:00,39.4,0.3,2.9,146,131,0.4,149
05/12/2101 07:00:00,06/12/2101 11:00:00,4.7,0.2,1,29,141,3.3,51
08/12/2101 17:00:00,08/12/2101 20:00:00,2.5,0.6,0.9,4,134,0.7,53
11/12/2101 09:00:00,14/12/2101 12:00:00,41.2,0.5,4.3,76,129,0.7,60
25/12/2101 23:00:00,27/12/2101 04:00:00,2.6,0.1,1.5,30,135,0,274
31/12/2101 05:00:00,04/01/2102 16:00:00,23.6,0.2,2.4,108,126,0,96
13/01/2102 20:00:00,15/01/2102 23:00:00,3.4,0.1,1.4,52,126,0,219
18/01/2102 11:00:00,19/01/2102 09:00:00,6.4,0.3,1.3,23,128,0.1,59
23/01/2102 12:00:00,25/01/2102 14:00:00,6.5,0.1,1.4,51,128,0.2,98
27/01/2102 10:00:00,28/01/2102 21:00:00,7.7,0.2,2.3,36,133,0.5,43
30/01/2102 18:00:00,02/02/2102,32.1,0.6,3,55,138,1.2,44
04/02/2102 18:00:00,07/02/2102 16:00:00,10.7,0.2,2.4,71,140,2,65
19/02/2102 23:00:00,26/02/2102 17:00:00,26.8,0.2,3.6,163,125,0,294
01/03/2102 01:00:00,01/03/2102 20:00:00,16.7,0.8,5.3,20,135,1.1,55
04/03/2102 03:00:00,05/03/2102 10:00:00,14,0.4,3.9,32,151,5.2,54
07/03/2102 18:00:00,08/03/2102 04:00:00,1.3,0.1,0.8,11,144,2.2,55
10/03/2102 03:00:00,13/03/2102 02:00:00,6.7,0.1,0.9,72,134,0.7,46
17/03/2102 10:00:00,18/03/2102 03:00:00,3.9,0.2,1.2,18,129,0,103
21/03/2102 22:00:00,21/03/2102 22:00:00,0.4,0.4,0.4,1,126,0.3,90
25/03/2102 17:00:00,27/03/2102 01:00:00,7.1,0.2,1.5,33,119,0,90
29/03/2102 05:00:00,29/03/2102 07:00:00,1.9,0.6,0.9,3,132,1.1,51
08/04/2102 12:00:00,10/04/2102 06:00:00,3,0.1,0.5,43,111,0,244
13/04/2102 03:00:00,13/04/2102 23:00:00,0.9,0,0.6,21,112,0.2,68
18/04/2102 01:00:00,18/04/2102 01:00:00,0.2,0.2,0.2,1,101,0,97
19/04/2102 22:00:00,20/04/2102 03:00:00,2,0.3,1.2,6,99,0,44
30/04/2102 02:00:00,30/04/2102 02:00:00,0.2,0.2,0.2,1,83,0,238
